"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 20 12:49:56 GMT 2025","Fri Jun 20 12:49:57 GMT 2025","1411","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Fri Jun 20 12:49:50 GMT 2025","Fri Jun 20 12:49:52 GMT 2025","2098","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 20 12:49:59 GMT 2025","Fri Jun 20 12:50:03 GMT 2025","3794","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Jun 20 12:49:54 GMT 2025","Fri Jun 20 12:49:56 GMT 2025","1872","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Jun 20 12:49:59 GMT 2025","Fri Jun 20 12:50:01 GMT 2025","2172","LMS system","Courses","Courses","","","Create course",""
"passed","Fri Jun 20 12:50:01 GMT 2025","Fri Jun 20 12:50:03 GMT 2025","1991","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Jun 20 12:49:50 GMT 2025","Fri Jun 20 12:49:52 GMT 2025","2087","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 20 12:49:52 GMT 2025","Fri Jun 20 12:49:54 GMT 2025","1582","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 20 12:49:52 GMT 2025","Fri Jun 20 12:49:55 GMT 2025","3054","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Jun 20 12:49:58 GMT 2025","Fri Jun 20 12:49:59 GMT 2025","1295","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
